80 13 79
38 37 39
31 113 74
18 65 48
48 49 18
85 24 84
68 52 67
40 36 41
48 38 16
35 2 34
115 75 34
41 50 16
1 40 66
49 50 17
49 48 50
76 17 50
95 14 60
52 68 29
18 54 55
44 91 90
23 116 80
81 57 89
2 115 34
47 59 33
19 83 91
70 22 56
89 113 21
91 25 90
103 101 21
102 100 26
21 81 89
71 72 6
82 81 83
75 32 34
6 72 112
97 100 25
114 115 2
74 89 17
30 103 93
51 94 93
97 101 100
39 0 66
39 37 0
96 15 65
15 38 65
57 17 89
65 38 48
15 37 38
41 16 40
38 39 16
36 40 1
35 36 1
32 41 36
31 74 75
74 76 75
76 74 17
75 115 31
16 50 48
41 32 76
41 76 50
32 75 76
56 55 54
59 47 58
20 57 81
74 113 89
44 19 91
20 81 82
22 55 56
20 82 56
54 57 20
49 17 57
22 60 55
14 96 61
54 18 49
55 61 18
57 54 49
20 56 54
61 96 65
18 61 65
55 60 61
95 60 79
14 61 60
13 95 79
60 22 79
19 82 83
92 46 116
79 22 69
13 59 58
79 69 80
23 80 69
59 13 80
46 47 33
40 39 66
47 12 58
39 40 16
47 46 45
12 47 45
45 46 11
23 43 92
46 33 116
23 92 116
11 46 92
84 86 85
11 92 85
85 86 11
90 62 99
99 98 84
84 10 86
85 92 43
42 70 19
42 43 23
43 24 85
69 42 23
44 24 43
22 70 69
56 82 70
70 42 69
44 43 42
42 19 44
70 82 19
62 25 64
59 116 33
106 27 102
116 59 80
99 24 90
25 100 64
62 90 25
24 44 90
63 28 62
99 84 24
63 78 28
98 10 84
28 78 98
78 108 98
98 108 10
99 28 98
77 9 78
62 28 99
62 64 63
27 63 64
77 78 63
78 9 108
71 26 73
77 87 9
77 88 87
87 88 8
77 63 27
88 107 8
102 64 100
107 88 106
88 27 106
88 77 27
104 106 102
7 107 106
104 102 26
27 64 102
105 104 71
7 106 104
7 104 105
72 109 112
109 5 112
52 51 53
110 94 29
109 72 30
109 30 94
72 71 73
105 71 6
104 26 71
103 73 101
30 72 73
81 21 83
101 26 100
21 101 97
73 26 101
83 21 97
113 93 103
53 51 31
94 30 93
113 103 21
30 73 103
31 51 93
53 3 52
53 31 115
93 113 31
114 53 115
114 3 53
91 97 25
29 51 52
110 29 68
52 3 67
109 94 110
94 51 29
109 110 5
110 111 5
110 68 111
97 91 83
68 4 111
68 67 4
36 34 32
34 36 35
